"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.641405960E-1,-4.069310129E-1,-2.929477207E-2,2.748382390E-1
8.740893260E-1,-4.852279723E-1,-1.278317347E-2,2.284992188E-1
8.841296090E-1,-5.459480286E-1,1.917476021E-2,1.853560209E-1
8.941088580E-1,-5.880259871E-1,4.633900523E-2,1.400822699E-1
9.041491410E-1,-5.858954787E-1,9.321063757E-2,9.054747969E-2
9.140673540E-1,-5.448827744E-1,1.826928556E-1,4.101268202E-2
9.241076370E-1,-4.857605994E-1,2.311623842E-1,-1.171790902E-2
9.340563670E-1,-4.255731404E-1,2.759034932E-1,-7.297061384E-2
9.440966500E-1,-3.664509654E-1,3.036003709E-1,-1.246359423E-1
9.540758990E-1,-3.376888335E-1,2.982740402E-1,-1.549959779E-1
9.641161820E-1,-3.579288721E-1,2.689792812E-1,-1.565938741E-1
9.740954300E-1,-4.330300093E-1,2.103897333E-1,-1.283643693E-1
9.841357130E-1,-5.587311983E-1,1.480717659E-1,-8.042746782E-2
9.941149610E-1,-6.966829300E-1,9.587380290E-2,-3.036003746E-2
1.004155244E0,-8.271778226E-1,4.846953228E-2,1.171790902E-2
1.014134492E0,-9.310411215E-1,2.024002373E-2,3.781688958E-2
1.024174775E0,-9.869675040E-1,-2.130528912E-3,2.982740477E-2
1.034154024E0,-9.880327582E-1,-2.183792181E-2,2.663161140E-3
1.044194307E0,-9.443569183E-1,-5.805691332E-2,-3.355583176E-2
1.054173555E0,-8.804410696E-1,-8.628641814E-2,-5.432848632E-2
1.064213838E0,-8.127967715E-1,-7.563377917E-2,-6.657902896E-2
1.074132051E0,-7.398261428E-1,-4.740426689E-2,-9.906959534E-2
1.084141817E0,-6.609966159E-1,-9.054748341E-3,-1.544633508E-1
1.094090547E0,-5.858954787E-1,2.130528912E-2,-2.157160491E-1
1.104100313E0,-5.171858668E-1,4.420847446E-2,-2.764361203E-1
1.114049043E0,-4.500742257E-1,6.657902896E-2,-3.296993375E-1
1.124058809E0,-3.882888854E-1,6.657902896E-2,-3.632551730E-1
1.134007539E0,-3.291667104E-1,3.941478580E-2,-3.616572917E-1
1.144017305E0,-3.009372056E-1,-5.326322280E-4,-3.275688291E-1
1.153966035E0,-3.014698327E-1,-1.810949668E-2,-2.705771625E-1
1.164006318E0,-3.206445873E-1,-4.314320907E-2,-2.002697140E-1
1.173955049E0,-3.467435837E-1,-7.030745596E-2,-1.336906850E-1
1.183995332E0,-3.691141307E-1,-9.267801046E-2,-7.563377917E-2
1.193944063E0,-4.005394280E-1,-1.166464612E-1,-3.621899337E-2
1.203984346E0,-4.314320982E-1,-1.118527651E-1,-1.225054078E-2
1.213933076E0,-4.607268870E-1,-9.054747969E-2,5.326322280E-4
1.223942842E0,-4.980111420E-1,-5.805691332E-2,9.587380104E-3
1.233891572E0,-5.225121975E-1,-2.876213938E-2,1.757686399E-2
1.243931856E0,-5.134574771E-1,-1.118527725E-2,2.503371425E-2
1.253911104E0,-4.799016416E-1,-1.331580617E-2,3.834952042E-2
1.263951387E0,-4.426173866E-1,-2.130528912E-2,5.326322466E-2
1.273930635E0,-4.308994710E-1,-4.846953228E-2,7.510114461E-2
1.283970918E0,-4.479437172E-1,-6.817692518E-2,9.374327213E-2
1.293950166E0,-4.681837261E-1,-5.432848632E-2,9.534116834E-2
1.303990449E0,-4.852279723E-1,-4.420847446E-2,9.374327213E-2
1.313969697E0,-4.894890189E-1,-2.982740477E-2,8.628641814E-2
1.324009981E0,-4.772384763E-1,-2.450108156E-2,7.403588295E-2
1.333989229E0,-4.388889670E-1,-3.888215125E-2,5.539375171E-2
1.344029512E0,-3.744404614E-1,-5.432848632E-2,3.781688958E-2
1.353978242E0,-3.142530024E-1,-6.551376730E-2,1.118527725E-2
1.364018525E0,-2.737729549E-1,-7.403588295E-2,-1.384843793E-2
1.373997774E0,-2.561961114E-1,-8.096009493E-2,-3.888215125E-2
1.384038057E0,-2.428802997E-1,-7.243798673E-2,-6.178534031E-2
1.393956270E0,-2.173139453E-1,-6.178534031E-2,-8.415589482E-2
1.403966035E0,-1.640507281E-1,-6.285060197E-2,-8.788431436E-2
1.413914766E0,-8.735168725E-2,-7.297061384E-2,-6.338323653E-2
1.423924531E0,-9.054748341E-3,-8.362326026E-2,-1.384843793E-2
1.433873262E0,4.953479767E-2,-9.161274135E-2,5.006742850E-2
1.443913545E0,8.575379103E-2,-9.747169912E-2,1.166464612E-1
1.453862275E0,9.640643001E-2,-9.374327213E-2,1.581917703E-1
1.463902559E0,9.747169912E-2,-9.321063757E-2,1.763012707E-1
1.473881807E0,1.081243455E-1,-1.075917110E-1,1.816275865E-1
1.483891572E0,1.299622655E-1,-1.331580579E-1,1.768338978E-1
1.493870820E0,1.613875628E-1,-1.555286050E-1,1.661812514E-1
1.503850068E0,1.960086524E-1,-1.656486243E-1,1.459412277E-1
1.513798799E0,2.327602804E-1,-1.496696621E-1,1.134506613E-1
1.523839082E0,2.812298238E-1,-1.225054115E-1,7.616640627E-2
1.533787813E0,3.392867148E-1,-9.960222989E-2,5.113269389E-2
1.543828096E0,4.074636400E-1,-7.190535218E-2,3.195793182E-2
1.553776826E0,4.745753109E-1,-4.261057824E-2,1.331580617E-2
