"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.430718760E-1,-7.274708748E-1,5.887174606E-1,4.669924974E-1
7.528220840E-1,-7.342615128E-1,4.377927780E-1,6.182765961E-1
7.625722930E-1,-6.689896584E-1,3.687276840E-1,1.060219407E0
7.723225010E-1,-4.562001526E-1,4.512634277E-1,1.111480474E0
7.820727090E-1,-3.132938147E-1,5.514221191E-1,9.391723275E-1
7.918229180E-1,-2.054351270E-1,4.897851944E-1,5.935276151E-1
8.015731260E-1,-1.787904650E-1,4.647035599E-1,4.140371680E-1
8.113233340E-1,-2.840638161E-1,4.826202393E-1,6.019423604E-1
8.210735430E-1,-3.917745650E-1,4.527435303E-1,9.694339633E-1
8.308236470E-1,-5.027389526E-1,2.686462402E-1,1.517360091E0
8.405738550E-1,-6.803053617E-1,-1.063947678E-1,2.115525723E0
8.503240640E-1,-7.659822106E-1,-4.904088974E-1,2.153434992E0
8.600742720E-1,-6.637235284E-1,-7.264308929E-1,1.463169575E0
8.698244800E-1,-2.688820064E-1,-6.543798447E-1,2.002260685E-1
8.795746890E-1,2.350442410E-1,-4.236879349E-1,-9.153554440E-1
8.893248970E-1,7.154498100E-1,-4.971685410E-1,-1.684422255E0
8.990751050E-1,1.151739001E0,-7.105674744E-1,-2.286381483E0
9.088252090E-1,1.492506623E0,-8.827219009E-1,-2.618408442E0
9.185754180E-1,1.597249627E0,-1.092498779E0,-2.706705809E0
9.283256260E-1,1.731091738E0,-1.320850372E0,-2.520268679E0
9.380758340E-1,1.667435765E0,-1.612998962E0,-2.063607216E0
9.478260430E-1,1.495005608E0,-1.661167145E0,-7.113531828E-1
9.575762510E-1,1.171662688E0,-1.468323708E0,6.816343069E-1
9.673263550E-1,6.821612120E-1,-1.332958221E0,7.107793093E-1
9.770765640E-1,2.006251961E-1,-1.261320114E0,-1.575094461E-1
9.868267720E-1,1.092531458E-1,-1.006036758E0,-1.065009832E0
9.965769800E-1,8.545058966E-2,-7.722091675E-1,-2.059146404E0
1.006327189E0,4.582177699E-1,-6.256370544E-1,-2.924455643E0
1.016077397E0,8.473664522E-1,-1.036931992E0,-3.142191887E0
1.025827501E0,9.128568172E-1,-1.820793152E0,-2.707234859E0
1.035577709E0,7.444404960E-1,-2.125382423E0,-2.637726784E0
1.045327918E0,3.985779285E-1,-1.910305977E0,-2.075786352E0
1.055078126E0,6.457207203E-1,-1.332328796E0,7.642263174E-2
1.064828334E0,1.215869546E0,-9.353599548E-1,2.436946392E0
1.074578439E0,1.286908388E0,-1.132536888E0,3.617001772E0
1.084328647E0,1.079495907E0,-1.740571022E0,2.576603174E0
1.094078855E0,6.223997474E-1,-2.170233727E0,9.761505723E-1
1.103829064E0,6.738703251E-1,-2.380712986E0,1.684743017E-1
1.113579272E0,6.264551878E-1,-3.085385799E0,6.963562965E-1
1.123329376E0,2.781521082E-1,-4.206148148E0,1.790791512E0
1.133079584E0,-3.595288098E-1,-5.336184025E0,3.018244982E0
1.142829793E0,-6.171172261E-1,-5.427278519E0,2.775125504E0
1.152580001E0,-8.756229877E-1,-5.199965954E0,1.236624122E0
1.162330105E0,-1.278287292E0,-4.981807232E0,1.188676879E-1
1.172080314E0,-1.424421549E0,-4.912712097E0,-2.839568630E-2
1.181830522E0,-1.105404139E0,-4.671316147E0,-2.241416126E-1
1.191580730E0,-3.713237345E-1,-4.572534084E0,-8.523770571E-1
1.201330834E0,1.067648828E-1,-4.508501053E0,-1.342189074E0
1.211081043E0,1.574535966E-1,-4.428880692E0,-1.095951319E0
1.220831251E0,-2.982171774E-1,-4.554308891E0,1.207521111E-1
1.230581459E0,-1.149571419E0,-4.349006653E0,8.625047207E-1
1.240331564E0,-1.615858674E0,-3.834427357E0,-5.293620825E-1
1.250081772E0,-1.774152756E0,-3.430597782E0,-2.630789995E0
1.259831980E0,-1.828860164E0,-2.735233784E0,-4.093577385E0
1.269582084E0,-1.666745067E0,-2.151730061E0,-4.215119362E0
1.279332293E0,-4.922885299E-1,-1.461232662E0,-3.213057280E0
1.289082501E0,1.368486166E0,-6.156206131E-1,-2.208382845E0
1.298832709E0,2.587396622E0,-8.898067474E-2,-6.520429254E-1
1.308582814E0,2.026966572E0,-6.165399551E-1,1.816087008E0
1.318333022E0,6.628366709E-1,-1.284544945E0,2.220414400E0
1.328083230E0,-4.747407734E-1,-1.027568817E0,1.453904629E0
1.337833334E0,-4.156752229E-1,-2.753162384E-1,7.428410053E-1
1.347583543E0,-1.702770591E-1,9.299879074E-1,2.141005397E-1
1.357333751E0,2.341130972E-1,2.591275215E0,-1.573688269E0
1.367083959E0,7.923834920E-1,3.571934700E0,-3.550761700E0
1.376834064E0,2.280334830E-1,3.138929367E0,-2.668293476E0
1.386584272E0,-1.026964426E0,2.220153809E0,3.364520073E-1
1.396334480E0,-8.288378716E-1,1.367763519E0,3.210152388E0
1.406084584E0,-5.345129371E-1,8.948659897E-1,5.358394623E0
1.415834793E0,-4.765571952E-1,5.283193588E-1,6.602280140E0
1.425584897E0,-2.072877884E-1,4.580383301E-1,6.113953114E0
1.435335105E0,-1.507083178E-1,4.507102966E-1,1.431829453E0
1.445085314E0,7.532470226E-1,1.991827011E0,-2.849957466E0
1.454835522E0,6.819924116E-1,2.798705101E0,-3.105908394E0
1.464585626E0,-4.322490096E-1,1.731746674E0,-2.279460430E0
1.474335834E0,-1.492455006E0,1.145292282E0,-4.349908233E-1
1.484085939E0,-1.701730847E0,1.074369431E0,8.965182304E-1
1.493836147E0,-1.862858534E0,8.123178482E-1,1.068377495E0
1.503586355E0,-2.232098579E0,1.236381531E-1,1.692646623E0
1.513336459E0,-2.558144808E0,-1.527526855E0,2.316801071E0
1.523086668E0,-2.343859673E0,-2.613715649E0,1.576502323E0
1.532836876E0,-1.073965430E0,-1.949287891E0,-1.467727423E-1
1.542586980E0,1.703847051E-1,-1.055258751E0,-1.837866545E0
1.552337189E0,1.791934133E0,-2.382373810E-2,-2.997588396E0
1.562087397E0,3.759897232E0,1.130519867E0,-3.247824907E0
1.571837501E0,5.711032391E0,2.342204094E0,-3.279768944E0
1.581587709E0,5.279922009E0,2.519835472E0,-1.865240693E0
