"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.180573000E-2,-1.191186346E-2,-1.621845961E-1,-7.177661173E-3
2.155593900E-2,4.673115537E-2,-1.084285006E-1,-1.572976820E-2
3.130614700E-2,5.467239767E-2,-1.557705179E-2,-3.466657549E-2
4.105635500E-2,4.062250629E-2,6.933315098E-2,-4.199695215E-2
5.080666800E-2,2.840521187E-2,1.395826042E-1,-3.649916872E-2
6.055687600E-2,4.581485875E-3,1.817322671E-1,-2.855792828E-2
7.030708400E-2,-3.207040206E-2,2.073885947E-1,-7.177661173E-3
8.005729300E-2,-6.688969582E-2,2.214384824E-1,1.420260593E-2
8.980760500E-2,-8.155044913E-2,2.177732885E-1,3.130681813E-2
9.955781400E-2,-6.322450191E-2,2.232710719E-1,3.863719851E-2
1.093080220E-1,-3.268126398E-2,2.574795187E-1,3.008509055E-2
1.190582300E-1,-9.468403645E-3,2.544251680E-1,3.130681813E-2
1.288084390E-1,-3.054323897E-4,1.860083193E-1,5.696314201E-2
1.385587510E-1,-2.412915789E-2,1.139262840E-1,7.895427197E-2
1.483089590E-1,-7.910698652E-2,6.688969582E-2,7.467821985E-2
1.580591680E-1,-1.334739476E-1,2.962694131E-2,4.902189970E-2
1.678093760E-1,-1.401934624E-1,-2.168569900E-2,2.336557768E-2
1.775595840E-1,-1.023198515E-1,-7.544180006E-2,1.359174121E-2
1.873097930E-1,-7.055488229E-2,-1.047633067E-1,-4.123337101E-3
1.970600010E-1,-3.634645417E-2,-1.218675226E-1,-1.634063199E-2
2.068103140E-1,3.359756200E-3,-1.114828214E-1,-1.695149764E-2
2.165605220E-1,1.679878123E-2,-7.666353136E-2,-2.183841541E-2
2.263107300E-1,2.412915789E-2,-4.184423760E-2,-2.855792828E-2
2.360609390E-1,7.360920310E-2,-2.107483521E-2,-2.000582218E-2
2.458111470E-1,1.615737379E-1,-1.313359290E-2,-9.621120058E-3
2.555613550E-1,2.379318327E-1,-2.748891478E-3,-1.511890348E-2
2.653115640E-1,2.715294063E-1,-9.468403645E-3,-2.672533318E-2
2.750618760E-1,2.739728391E-1,-2.779434808E-2,-2.916879393E-2
2.848120840E-1,2.580903769E-1,-4.978547990E-2,-1.939495653E-2
2.945622930E-1,2.348775119E-1,-5.467239767E-2,-1.450803876E-2
3.043125010E-1,2.153298408E-1,-2.718348242E-2,-3.344484791E-2
3.140627090E-1,1.945604384E-1,2.474002354E-2,-6.215549260E-2
3.238129180E-1,1.762344837E-1,5.711585656E-2,-6.887500733E-2
3.335631260E-1,1.554650813E-1,4.612028971E-2,-5.177079141E-2
3.433133340E-1,1.310304999E-1,1.985310577E-2,-2.977965772E-2
3.530635430E-1,1.182023361E-1,-5.192350596E-3,-1.634063199E-2
3.628137510E-1,1.072067693E-1,-2.351829410E-2,-9.010255337E-3
3.725639590E-1,8.032871783E-2,-3.451386094E-2,-9.010255337E-3
3.823142720E-1,3.695731983E-2,-1.618791744E-2,-3.466657549E-2
3.920644800E-1,-9.468403645E-3,1.924224012E-2,-5.115992576E-2
4.018146890E-1,-4.978547990E-2,4.123337194E-2,-4.382954910E-2
4.115648970E-1,-7.605266571E-2,4.978547990E-2,-1.878409274E-2
4.213151050E-1,-5.528326333E-2,6.139190868E-2,1.985310577E-3
4.310653140E-1,-1.130099874E-2,7.544180006E-2,1.298087649E-2
4.408155220E-1,2.351829410E-2,8.216131479E-2,5.207622424E-2
4.505657300E-1,4.734202102E-2,7.177661359E-2,1.125518382E-1
4.603159390E-1,6.261363626E-2,4.856374860E-2,1.583666950E-1
4.700661470E-1,6.933315098E-2,9.468403645E-3,1.791360974E-1
4.798163550E-1,4.917461425E-2,-5.711585656E-2,1.852447391E-1
4.895665640E-1,2.535088919E-2,-1.359174103E-1,2.005163580E-1
4.993167720E-1,1.557705179E-2,-2.348775119E-1,2.182314396E-1
5.090669800E-1,3.451386094E-2,-3.344484568E-1,2.060141414E-1
5.188171890E-1,9.437860548E-2,-3.527744114E-1,1.950185746E-1
5.285673970E-1,1.908952445E-1,-3.552178741E-1,2.237292230E-1
5.383176050E-1,2.825249732E-1,-3.961458206E-1,2.695440948E-1
5.480678140E-1,3.472766280E-1,-4.095848203E-1,3.116937578E-1
5.578180220E-1,3.772090077E-1,-3.460549116E-1,3.049742281E-1
5.675682300E-1,3.631591201E-1,-2.055560052E-1,2.353356630E-1
5.773184390E-1,3.063486814E-1,-5.406153202E-2,1.400407553E-1
5.870686470E-1,2.336557806E-1,3.512472659E-2,5.085449293E-2
5.968188550E-1,1.841757298E-1,6.627883017E-2,-1.878409274E-2
6.065690640E-1,1.438586563E-1,8.155044913E-2,-7.192932814E-2
6.163192720E-1,1.108719558E-1,6.261363626E-2,-1.214093715E-1
6.260694800E-1,1.023198515E-1,3.359756200E-3,-1.556178033E-1
6.358196890E-1,1.151480079E-1,-3.695731983E-2,-1.708894223E-1
6.455698970E-1,1.627954692E-1,-2.962694131E-2,-1.513417512E-1
6.553201050E-1,2.171624303E-1,-3.054323897E-4,-9.636391699E-2
6.650703140E-1,2.104429156E-1,1.007926930E-2,-3.955349326E-2
6.748205220E-1,1.554650813E-1,2.718348242E-2,1.481347065E-2
6.845707300E-1,9.010255337E-2,4.062250629E-2,4.474584386E-2
6.943209390E-1,3.084867075E-2,3.940077871E-2,3.619373962E-2
7.040711470E-1,-2.535088919E-2,9.468403645E-3,3.817904973E-3
7.138213550E-1,-8.093958348E-2,-4.917461425E-2,-2.550360374E-2
7.235714590E-1,-1.157588735E-1,-1.072067693E-1,-4.993819445E-2
7.333216680E-1,-1.450803876E-1,-1.182023361E-1,-6.215549260E-2
7.430718760E-1,-1.640172005E-1,-1.133154184E-1,-6.520981342E-2
7.528220840E-1,-1.328630894E-1,-7.910698652E-2,-5.665770918E-2
