"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.506838900E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.481870200E-2,6.590653956E-2,1.986026764E-2,2.763170004E-1
4.456911900E-2,1.529299021E-1,3.205299377E-3,3.824052811E-1
5.431953500E-2,1.058895141E-1,2.976226807E-2,3.503618240E-1
6.406995200E-2,4.233291745E-2,4.559898376E-2,2.812392712E-1
7.382036900E-2,-8.766602725E-2,3.301620483E-2,-4.233205318E-2
8.357068100E-2,-3.306503296E-1,6.708049774E-2,-5.149662495E-1
9.332109800E-2,-5.286307335E-1,4.029273987E-3,-1.048610926E0
1.030715140E-1,-7.887402177E-1,-2.640695572E-1,-1.492375374E0
1.128219310E-1,-9.962771535E-1,-4.864921570E-1,-1.573648453E0
1.225723480E-1,-9.204630852E-1,-5.407743454E-1,-1.394878626E0
1.323226600E-1,-5.017747283E-1,-3.377056122E-1,-9.721552134E-1
1.420730770E-1,3.160136044E-1,2.593641281E-1,-6.243478060E-1
1.518234940E-1,8.881112337E-1,6.500272751E-1,-4.570339620E-1
1.615739100E-1,8.759030700E-1,6.927890778E-1,-4.809868336E-1
1.713242230E-1,8.252225518E-1,7.384634018E-1,-5.017119646E-1
1.810746390E-1,8.322856426E-1,7.797966003E-1,-3.636197448E-1
1.908250560E-1,8.315896392E-1,5.772733688E-1,-3.751854897E-1
2.005754730E-1,4.877418876E-1,2.212657928E-1,-5.844111443E-1
2.103257850E-1,-3.313332796E-1,-2.603111267E-1,-6.349027753E-1
2.200762020E-1,-9.297616482E-1,-5.974092484E-1,-4.372941554E-1
2.298266190E-1,-1.030263186E0,-6.380453110E-1,-2.530929446E-1
2.395770350E-1,-7.669470310E-1,-3.722963333E-1,-8.820778131E-2
2.493273480E-1,-1.442929357E-1,2.019815445E-1,1.320714355E-1
2.590777640E-1,3.773849010E-1,5.073823929E-1,3.052952886E-1
2.688281810E-1,4.060383141E-1,4.864244461E-1,3.598601222E-1
2.785785980E-1,1.170700490E-1,3.446655273E-1,3.344017267E-1
2.883289100E-1,-1.287938952E-1,2.888851166E-1,2.840011120E-1
2.980793270E-1,-2.402527630E-2,3.851118088E-1,-2.710342407E-2
3.078297440E-1,-2.298601717E-2,2.631368637E-1,-6.054815054E-1
3.175801600E-1,-6.396605819E-2,4.354190826E-2,-1.143743038E0
3.273304730E-1,-1.077796891E-1,-2.566289902E-1,-1.386570215E0
3.370808890E-1,-1.800614968E-2,-6.163434982E-1,-1.360406637E0
