"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.797975040E-1,-3.026151061E-1,1.675481987E1,1.080349922E1
7.897975040E-1,4.612869024E-2,1.400658226E1,1.045063972E1
7.997975040E-1,-4.870215654E-1,1.187442303E1,8.841195107E0
8.097975040E-1,-8.840405941E-1,9.321307182E0,6.467108727E0
8.197974700E-1,-8.143123984E-1,6.305242538E0,3.811986685E0
8.297974700E-1,-9.262255430E-1,2.648819923E0,5.098550320E-1
8.397974700E-1,-6.405863762E-1,5.193777084E-1,-1.129733443E0
8.497974700E-1,-2.110345960E-1,-2.139633179E0,-2.191459656E0
8.597974360E-1,7.505571246E-1,-4.462352753E0,-3.067198038E0
8.697974360E-1,1.428686142E0,-7.352068901E0,-2.579447746E0
8.797974360E-1,1.429039717E0,-8.090664864E0,-2.248047352E0
8.897974360E-1,9.495476484E-1,-9.893281937E0,-1.766806364E0
8.997974360E-1,7.738727927E-1,-1.110060310E1,-1.289370060E0
9.097974360E-1,6.761372089E-1,-1.287495613E1,-1.239004135E0
9.197974360E-1,6.824310422E-1,-1.321104050E1,-1.421284914E0
9.297974360E-1,1.083503962E0,-1.375638008E1,-2.203857422E0
9.397974360E-1,1.067496300E0,-1.405221558E1,-2.656701565E0
9.497974360E-1,9.040253758E-1,-1.342782116E1,-4.127573967E0
9.597974360E-1,9.089674950E-1,-1.333238125E1,-4.191973686E0
9.697974360E-1,1.105939984E0,-1.250433731E1,-4.669185638E0
9.797974360E-1,6.779249907E-1,-1.232396984E1,-4.768690109E0
9.897974360E-1,6.650950313E-1,-1.209641075E1,-5.171674728E0
9.997974360E-1,6.581088305E-1,-1.169986248E1,-5.345080376E0
1.009797436E0,7.035249472E-1,-1.078116703E1,-4.888831139E0
1.019797436E0,2.273945063E-1,-1.000693321E1,-3.998247862E0
1.029797436E0,-3.145566881E-1,-9.693513870E0,-2.566491842E0
1.039797436E0,-6.436985731E-1,-9.183824539E0,-1.339913011E0
1.049797436E0,-1.056268215E0,-8.227762222E0,-3.608667850E-2
1.059797436E0,-1.073273182E0,-7.432763100E0,5.632505417E-1
1.069797436E0,-1.764454961E0,-6.803917408E0,9.398475885E-1
1.079797436E0,-1.821141720E0,-6.696012497E0,9.906470776E-1
1.089797436E0,-1.512933493E0,-5.631990433E0,1.127703547E0
1.099797436E0,-5.724786520E-1,-4.117784500E0,1.310117006E0
1.109797436E0,6.175268888E-1,-3.925771713E-1,2.964886189E0
1.119797436E0,5.716255903E-1,6.675033569E-1,3.649481058E0
1.129797436E0,1.519153476E0,4.065135956E0,3.388502836E0
1.139797436E0,2.300497770E0,6.869124413E0,-6.907546520E-1
1.149797436E0,2.517494917E0,1.386832619E1,-1.411042976E1
1.159797369E0,2.546721935E0,1.384619141E1,-1.393397141E1
1.169797369E0,2.129692554E0,1.896866798E1,-1.442293358E1
1.179797369E0,1.415443182E0,2.283013725E1,-7.905522346E0
1.189797369E0,3.054920912E0,2.569944191E1,1.031323433E0
1.199797369E0,3.367362976E0,2.719138336E1,6.684887886E0
1.209797369E0,3.409457207E0,2.666828346E1,1.162864971E1
1.219797369E0,2.626239538E0,2.429887390E1,1.393835068E1
1.229797369E0,1.363379478E0,2.030482864E1,1.224009037E1
1.239797369E0,7.297978401E-1,1.729195023E1,9.720390320E0
1.249797369E0,-1.346557438E-1,1.294919109E1,5.240874290E0
1.259797369E0,-2.358092964E-1,8.947501183E0,2.675741911E-1
1.269797369E0,-1.491436362E-2,2.901867867E0,-4.074416161E0
1.279797369E0,3.587821722E-1,1.839147568E0,-4.229983807E0
1.289797369E0,1.534098387E0,-1.206463814E0,-3.961226463E0
1.299797369E0,2.407291412E0,-4.525695801E0,-2.735274315E0
1.309797369E0,2.909341335E0,-9.465620995E0,-6.114162803E-1
1.319797369E0,2.803003311E0,-1.001181030E1,-3.677268028E-1
1.329797369E0,2.383092165E0,-1.159255028E1,2.696025372E-1
1.339797369E0,1.498768210E0,-1.287791061E1,-2.825343609E-2
1.349797369E0,-3.930094242E-1,-1.437435913E1,-2.290474176E0
1.359797369E0,-5.657113791E-1,-1.443890572E1,-2.554913521E0
1.369797369E0,-6.191305518E-1,-1.400744629E1,-3.488093615E0
1.379797369E0,-4.487725496E-1,-1.359354401E1,-3.783359528E0
1.389797369E0,-4.937973917E-1,-1.295327473E1,-4.207698822E0
1.399797369E0,-3.784022629E-1,-1.212592316E1,-4.326801777E0
1.409797369E0,2.460161895E-1,-1.127988243E1,-4.113315582E0
1.419797369E0,5.217138529E-1,-1.068109035E1,-3.245597124E0
1.429797369E0,3.548237681E-1,-1.019550991E1,-2.002566814E0
1.439797369E0,4.087330699E-1,-9.747322083E0,-1.421280146E0
1.449797369E0,4.752972424E-1,-9.291940689E0,-5.748562813E-1
1.459797435E0,2.490676641E-1,-9.227238655E0,-2.409720421E-1
1.469797435E0,-1.601394415E-1,-9.350509644E0,-3.553366661E-1
1.479797435E0,-3.247960806E-1,-9.391222954E0,-3.878103495E-1
1.489797435E0,-6.616451144E-1,-9.530611992E0,-5.147277117E-1
1.499797435E0,-4.857715964E-1,-9.514750481E0,-8.800789714E-1
1.509797435E0,5.334436893E-2,-9.039349556E0,-1.038504362E0
1.519797468E0,6.887507439E-2,-8.958444595E0,-1.068810582E0
1.529797468E0,6.649661064E-1,-8.361678123E0,-6.888899803E-1
1.539797468E0,6.588897705E-1,-7.936511040E0,-3.771544695E-1
1.553170114E0,1.343802094E0,-5.047483444E0,1.885310411E-1
1.563170147E0,1.256677032E0,-5.039483070E0,1.308194399E-1
1.573170147E0,2.445712328E0,-7.751626968E-1,9.965324402E-2
1.583170147E0,3.059217215E0,3.702953339E0,-5.625538826E-1
1.593170147E0,1.302574277E0,9.400155067E0,-4.302341461E0
1.603170147E0,-1.970101893E-2,1.365715408E1,-7.685125351E0
1.613170147E0,-1.056720614E0,1.924463654E1,-1.003637409E1
1.623170147E0,-1.746730566E0,2.376378632E1,-8.211772919E0
1.633170147E0,-4.166694283E-1,2.657795143E1,1.546566010E0
1.643170147E0,3.240861654E0,2.863525391E1,6.870726585E0
1.653170147E0,6.272293568E0,2.958673859E1,1.123461246E1
1.663170147E0,6.416415215E0,2.819740677E1,1.428991508E1
1.673170147E0,3.954890966E0,2.337786102E1,1.284142685E1
1.683170147E0,3.264363289E0,2.176206017E1,1.148532009E1
1.693170147E0,1.471142769E0,1.708102417E1,7.110808372E0
1.703170147E0,1.431003213E-1,1.285603523E1,1.837084770E0
1.713170147E0,-1.195544958E0,6.749823570E0,-3.395319939E0
1.723170147E0,-1.162919283E0,5.414335251E0,-3.632024288E0
1.733170147E0,-6.597642303E-1,2.137961388E0,-3.367988110E0
1.743170147E0,-2.306795418E-1,-8.305101395E-1,-2.265651226E0
1.753170147E0,1.063331962E-2,-5.402224064E0,-5.262520313E-1
1.763170147E0,-4.468679428E-3,-5.409533024E0,-4.846247435E-1
1.773170147E0,-1.288262904E-1,-8.059288979E0,1.214326620E-1
1.783170147E0,-1.251019984E-1,-1.009026051E1,-1.428753138E-1
1.793170147E0,-5.920417607E-2,-1.211163712E1,-1.465256691E0
1.803170147E0,-9.755524248E-2,-1.295177174E1,-2.358762264E0
1.813170147E0,-4.390983880E-1,-1.388948059E1,-3.783430576E0
1.823170113E0,-6.356307864E-1,-1.424108791E1,-5.012467861E0
1.833170113E0,-9.226795435E-1,-1.398682404E1,-5.945672512E0
1.843170113E0,-9.268187881E-1,-1.367058372E1,-6.223556042E0
