"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.621173700E-2,7.346417904E-1,-2.577087879E-1,2.588541433E-2
2.812065500E-2,7.346417904E-1,-2.577087879E-1,2.588541433E-2
3.813365500E-2,7.346417904E-1,-2.577087879E-1,2.588541433E-2
4.813965500E-2,7.346417904E-1,-2.577087879E-1,2.588541433E-2
5.814365500E-2,6.375142336E-1,-2.528218627E-1,5.215261877E-2
6.814665500E-2,5.971971154E-1,-2.644282877E-1,5.032002553E-2
7.814905500E-2,5.458844304E-1,-2.558761835E-1,3.260493279E-2
8.815105500E-2,5.073999166E-1,-2.607631087E-1,8.399396902E-4
9.815276900E-2,4.793001413E-1,-2.931389511E-1,-2.359467000E-2
1.081542690E-1,4.334852397E-1,-3.261256814E-1,-3.214678168E-2
1.181556020E-1,3.766747713E-1,-3.468950987E-1,-4.253149405E-2
1.281568020E-1,3.442989290E-1,-3.804926872E-1,-4.986187443E-2
1.381578920E-1,3.589596748E-1,-4.165337384E-1,-6.940956414E-2
1.481586420E-1,3.870594800E-1,-4.482987225E-1,-1.060614809E-1
1.581598720E-1,3.815616965E-1,-4.629594982E-1,-1.451568604E-1
1.681607290E-1,3.278055489E-1,-4.360814393E-1,-1.720349193E-1
1.781615950E-1,2.667190433E-1,-3.878230751E-1,-1.854739636E-1
1.881623450E-1,2.227367461E-1,-3.462842405E-1,-1.921934783E-1
1.981630500E-1,1.915826052E-1,-3.071888685E-1,-1.891391575E-1
2.081637160E-1,1.677588671E-1,-2.705369592E-1,-1.763109863E-1
2.181643470E-1,1.500437707E-1,-2.320524305E-1,-1.549306959E-1
2.281649970E-1,1.488220394E-1,-2.051743716E-1,-1.457677186E-1
2.381655680E-1,1.598176211E-1,-1.673007160E-1,-1.524872333E-1
2.481661130E-1,1.854739636E-1,-1.129337102E-1,-1.695914567E-1
2.581675040E-1,2.245693356E-1,-4.634939879E-2,-1.854739636E-1
2.681680040E-1,2.801580727E-1,1.298088697E-3,-1.952477992E-1
2.781684840E-1,3.406337202E-1,3.306308016E-2,-1.909717470E-1
2.881689450E-1,4.017202556E-1,5.077817291E-2,-1.738675237E-1
2.981693890E-1,4.426482320E-1,6.360634416E-2,-1.329395473E-1
3.081698530E-1,4.267657399E-1,7.704538107E-2,-7.612907887E-2
3.181702660E-1,3.614031374E-1,9.231700748E-2,-1.748601720E-2
3.281706660E-1,2.612212598E-1,1.149190217E-1,3.504839167E-2
3.381706320E-1,1.579850167E-1,1.265254617E-1,7.292203605E-2
3.481706320E-1,4.680754989E-2,1.344667077E-1,9.063713253E-2
3.581706320E-1,-7.903069258E-2,1.497383416E-1,9.308059514E-2
3.681706320E-1,-2.134210467E-1,1.698969007E-1,8.758280426E-2
3.781706320E-1,-3.380375504E-1,1.961641014E-1,8.147415519E-2
3.881706320E-1,-4.467715621E-1,2.303725630E-1,7.353290170E-2
3.981706650E-1,-5.402339697E-1,2.792417705E-1,5.642867833E-2
4.081706650E-1,-6.074291468E-1,3.360522389E-1,3.627012298E-2
4.181706650E-1,-6.544657350E-1,3.891975284E-1,1.305724494E-2
4.281706650E-1,-6.837872863E-1,4.392884672E-1,-7.101308554E-3
4.381702650E-1,-6.764569283E-1,4.484514594E-1,-2.054034360E-2
4.481703650E-1,-6.562983394E-1,3.940844536E-1,-1.198823005E-2
4.581702310E-1,-6.520223022E-1,3.293327391E-1,1.450804994E-3
4.681702640E-1,-6.434701681E-1,2.578614950E-1,7.559457328E-3
4.781702300E-1,-6.355289221E-1,2.077705413E-1,6.948592141E-3
4.881698630E-1,-6.404158473E-1,1.698969007E-1,5.115996581E-3
4.981698630E-1,-6.898959279E-1,1.582904607E-1,5.726861767E-3
5.081698630E-1,-8.077929020E-1,2.132683247E-1,-7.712173741E-3
5.181698630E-1,-8.749880791E-1,2.480876446E-1,-2.359467000E-2
5.281698290E-1,-9.153051972E-1,2.651918828E-1,-3.397937864E-2
5.381698290E-1,-9.098074436E-1,2.627484202E-1,-4.069889709E-2
5.481698290E-1,-8.829293251E-1,2.493093759E-1,-4.925100878E-2
5.581691620E-1,-8.456665874E-1,2.438115925E-1,-6.146831438E-2
5.681691620E-1,-8.139016032E-1,2.511419654E-1,-7.490734756E-2
5.781691620E-1,-7.870234847E-1,2.596940994E-1,-9.445504099E-2
5.881691620E-1,-7.674758434E-1,2.645809948E-1,-1.030071527E-1
5.981691620E-1,-7.680866718E-1,2.621375620E-1,-9.323330969E-2
6.081691280E-1,-7.845800519E-1,2.212095708E-1,-7.124216110E-2
6.181691280E-1,-8.102363944E-1,1.753946841E-1,-3.581197560E-2
6.281691280E-1,-8.352818489E-1,1.326341182E-1,6.948592141E-3
6.381691280E-1,-8.365035653E-1,9.353873879E-2,3.382666409E-2
6.481691280E-1,-7.674758434E-1,6.727153808E-2,3.260493279E-2
6.581691280E-1,-6.624069810E-1,5.383250117E-2,1.916589774E-2
6.681691280E-1,-5.695554614E-1,5.627596006E-2,2.061670180E-3
6.781691610E-1,-5.029711723E-1,7.521278411E-2,-1.198823005E-2
6.881691610E-1,-4.534910917E-1,8.620835841E-2,-1.809688285E-2
6.981687940E-1,-4.046218693E-1,8.559749275E-2,-2.298380435E-2
7.081687940E-1,-3.557526469E-1,8.620835841E-2,-2.054034360E-2
7.181687940E-1,-3.099377453E-1,8.437576145E-2,-6.490443368E-3
7.281687940E-1,-2.531272769E-1,7.154759020E-2,6.948592141E-3
7.381687940E-1,-2.005928755E-1,7.338018715E-2,1.794416644E-2
7.481687940E-1,-1.621083617E-1,8.865182102E-2,1.244637929E-2
7.581687940E-1,-1.395063549E-1,9.781479836E-2,-2.542726509E-2
7.681687600E-1,-1.211803928E-1,1.069777757E-1,-8.895725012E-2
7.781687600E-1,-1.217912585E-1,1.130864322E-1,-1.427133977E-1
7.881696260E-1,-1.572214365E-1,1.466840208E-1,-1.714240611E-1
7.981696260E-1,-1.724930704E-1,1.912771761E-1,-1.683697402E-1
8.081696260E-1,-1.529453844E-1,1.900554448E-1,-1.402699351E-1
8.181696260E-1,-8.208502084E-2,1.717294902E-1,-8.956811577E-2
8.281696260E-1,-3.283400787E-3,1.289689243E-1,-1.382082608E-2
8.381696590E-1,4.925100878E-2,1.161407530E-1,5.093089119E-2
8.481696590E-1,8.712465316E-2,1.081995070E-1,9.308059514E-2
8.581694590E-1,1.072832122E-1,1.277471930E-1,9.980010986E-2
8.681694920E-1,1.121701300E-1,1.637882441E-1,5.948300287E-2
8.781695250E-1,1.164461896E-1,1.937206388E-1,-2.214386594E-3
8.881695250E-1,1.164461896E-1,1.973858327E-1,-5.902485549E-2
8.981695250E-1,1.078940704E-1,2.089922726E-1,-9.567677230E-2
9.081695250E-1,7.368562371E-2,2.193769813E-1,-1.060614809E-1
9.181695250E-1,2.787072770E-2,2.205987126E-1,-7.857254148E-2
9.281695580E-1,-3.443752974E-2,2.059379518E-1,-2.787072770E-2
9.381695580E-1,-1.114065498E-1,2.102140039E-1,1.550070569E-2
9.481695910E-1,-1.541671157E-1,2.041053474E-1,5.520694703E-2
9.581695910E-1,-1.456149966E-1,1.790598780E-1,8.147415519E-2
