"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.381858137E0,1.889804602E0,9.825248718E0,1.453223705E0
1.398963170E0,2.004844904E0,9.849494934E0,2.038716793E0
1.416067498E0,1.972387791E0,8.442968369E0,2.210784912E0
1.433171687E0,1.781686902E0,5.858364582E0,9.033603668E-1
1.450276016E0,8.538950682E-1,2.707817554E0,-2.725077152E0
1.467380448E0,-1.748165488E-1,-3.627777100E-3,-6.737425804E0
1.484485105E0,-5.983775258E-1,-1.886087894E0,-8.417922974E0
1.501589922E0,-2.337855101E-1,-3.135051966E0,-7.226166725E0
1.518693712E0,5.427920222E-1,-4.082502365E0,-4.671295166E0
1.535798693E0,1.005741835E0,-5.095656872E0,-3.953555584E0
1.552902749E0,1.011155605E0,-6.581368923E0,-5.144429684E0
1.570007403E0,8.193114400E-1,-7.759065628E0,-7.310848236E0
1.587111815E0,4.145479202E-1,-8.995132446E0,-9.904884338E0
1.604213642E0,5.050099492E-1,-9.265650749E0,-1.138080215E1
1.621321105E0,7.277097106E-1,-8.189598083E0,-1.103463364E1
1.638427317E0,9.917579889E-1,-6.515492439E0,-8.969663620E0
1.655529592E0,1.125101805E0,-5.071175575E0,-6.275676727E0
1.672633740E0,9.926601052E-1,-4.499252319E0,-4.146947861E0
1.689738394E0,7.749338746E-1,-4.895009995E0,-3.354716301E0
1.706842906E0,7.183693647E-1,-5.754860401E0,-3.900837660E0
1.723947380E0,8.639929295E-1,-6.772101402E0,-4.967583656E0
1.741051618E0,9.079767466E-1,-7.758722305E0,-6.305893898E0
1.758155998E0,8.660756946E-1,-8.484539986E0,-7.317482471E0
1.775260195E0,8.386168480E-1,-8.909584045E0,-7.414871216E0
1.792364627E0,9.005498886E-1,-8.968255997E0,-6.856855392E0
1.809469222E0,1.186535239E0,-8.764546394E0,-6.240945816E0
1.826573989E0,1.394929886E0,-8.051980972E0,-5.878878593E0
1.843678157E0,1.254183054E0,-7.112634182E0,-6.788054466E0
1.860782802E0,1.266496539E0,-5.319822311E0,-9.372230530E0
1.877888129E0,8.681609631E-1,-3.102841854E0,-1.210210800E1
1.894991409E0,-2.485484481E-1,-1.803060532E0,-1.129534435E1
1.912095975E0,1.410734296E0,1.368815422E0,-3.510018349E0
1.929200680E0,9.955428243E-1,4.849600792E0,-1.501927376E-1
1.946301939E0,1.045813084E0,5.560096264E0,1.902192116E0
1.963411791E0,1.696118474E0,7.085678577E0,5.280904770E0
1.980513975E0,1.007110953E0,8.324964523E0,3.197092056E0
1.997618457E0,6.780861616E-1,8.610069275E0,-5.513548851E-1
2.014722991E0,3.162134886E-1,8.366617203E0,-3.059003353E0
2.031827454E0,1.177371740E-1,8.020106316E0,-2.440123558E0
2.048931344E0,8.042165637E-1,8.330410957E0,1.623831749E0
2.066035695E0,1.364407420E0,7.960536480E0,4.035438538E0
2.083140147E0,1.243890762E0,8.043437004E0,3.737115860E0
2.100244580E0,7.575672269E-1,8.401409149E0,2.576861382E0
2.177212620E0,2.096275091E-1,7.289038658E0,2.679651260E0
2.194316859E0,5.920959711E-1,7.055182457E0,2.039554596E0
2.211424972E0,8.138859868E-1,6.464406013E0,9.255685806E-1
2.228537542E0,5.601491928E-1,5.521246433E0,7.941913605E-2
2.245643275E0,-1.396838427E-1,4.989838600E0,-1.812257767E-1
2.262745805E0,-2.970228195E-1,5.181564808E0,3.110628128E-1
2.279850969E0,-2.076907158E-1,5.371241093E0,4.020709991E-1
2.296955044E0,2.611892223E-1,5.605073929E0,5.064888000E-1
2.314047076E0,5.060819983E-1,5.456425190E0,-1.660003662E-1
2.331161222E0,5.836025476E-1,5.116817474E0,-1.057459354E0
2.348257109E0,8.930196166E-1,5.234348297E0,-1.450643063E0
2.365361438E0,1.177660823E0,5.760934353E0,-8.478956223E-1
2.382463357E0,1.305558920E0,6.400925159E0,2.730598450E-1
2.399568481E0,1.756848454E0,7.399127007E0,1.403589249E0
2.416679128E0,2.027079105E0,7.911413670E0,1.709007263E0
2.433794027E0,1.829935670E0,7.726158619E0,1.244123459E0
2.450896251E0,1.792320132E0,7.506179333E0,9.354219437E-1
2.467985271E0,1.814152956E0,7.439260006E0,1.204868317E0
2.485092683E0,1.788491249E0,7.625760078E0,1.890185356E0
2.502196403E0,1.783808112E0,8.046066284E0,2.938146591E0
2.519301200E0,1.691315413E0,8.317024231E0,3.727645874E0
2.536405673E0,1.444756269E0,8.036859512E0,3.770520210E0
2.553513625E0,1.509097815E0,7.726796150E0,2.576814651E0
2.570626082E0,1.916664124E0,7.306367397E0,1.837646484E0
2.587731602E0,2.136775255E0,7.053730965E0,1.315999985E0
2.604835158E0,1.825021744E0,6.149115562E0,5.140695572E-1
2.621940781E0,1.610733986E0,4.046874046E0,-5.788393021E-1
2.639044591E0,1.378476381E0,1.882558346E0,-2.223935604E0
2.656149562E0,8.516392708E-1,-1.438379288E-1,-4.209459305E0
2.673253089E0,-3.217071295E-2,-1.595265388E0,-6.051927090E0
2.690357804E0,-1.055206299E0,-2.501997232E0,-7.320199013E0
2.707462287E0,-9.760749340E-1,-3.139227390E0,-7.066362381E0
2.724567015E0,-1.897661686E-1,-3.793339729E0,-6.391297340E0
2.741670784E0,3.433576524E-1,-4.733823299E0,-6.123388290E0
2.758775410E0,4.267253578E-1,-5.621850967E0,-6.782291412E0
2.775877612E0,3.897126615E-1,-6.681962967E0,-8.178339005E0
2.790830617E0,6.352864504E-1,-7.424636364E0,-1.071685505E1
2.807940103E0,7.582865953E-1,-7.435410976E0,-1.164624500E1
