"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.399132810E-1,1.066693306E0,6.227097511E0,1.357812405E0
8.499217180E-1,7.547154278E-2,5.125061989E0,-1.418182850E0
8.599350520E-1,-4.639232755E-1,4.025188446E0,-3.247140884E0
8.699531770E-1,-1.096778154E0,3.386000633E0,-3.141099930E0
8.799759370E-1,-1.833571076E0,3.175395012E0,-1.540588617E0
8.900010930E-1,-2.175059795E0,2.688830376E0,1.390018463E-1
9.000289060E-1,-1.900196791E0,2.082729340E0,1.548955441E0
9.100600000E-1,-1.170586228E0,1.521327972E0,2.632237434E0
9.200936980E-1,-3.564955592E-1,1.100655556E0,3.786153793E0
9.301291660E-1,1.212462306E0,-4.024543762E-1,3.304190159E0
9.401656250E-1,1.979358077E0,-1.253530502E0,1.851860046E0
9.502022390E-1,1.660456538E0,-1.039482117E0,1.980257034E-2
9.602250000E-1,9.186238050E-1,-7.353553772E-1,-1.687280178E0
9.702410930E-1,6.794353724E-1,-9.430103302E-1,-2.533607483E0
9.802572390E-1,6.071168184E-1,-1.340950012E0,-3.360213757E0
9.902734370E-1,8.648040295E-1,-1.529248238E0,-4.054152966E0
1.000289791E0,1.068489552E0,-1.783288002E0,-3.615914345E0
1.010306250E0,1.166580677E0,-2.087453842E0,-2.328097582E0
1.020322916E0,1.263162732E0,-2.458194256E0,-8.754506111E-1
1.030339739E0,1.691927075E0,-2.762335777E0,2.283549309E-1
1.040356718E0,2.266114712E0,-3.042669296E0,1.377354622E0
1.050373906E0,2.543933392E0,-3.202272892E0,1.972730637E0
1.060391250E0,2.132041931E0,-3.090327740E0,2.085691452E0
1.070386093E0,1.385014772E0,-2.754000664E0,1.915018082E0
1.080381093E0,5.998950005E-1,-2.505849361E0,1.705616474E0
1.090377135E0,8.383369446E-2,-2.527836323E0,1.003421307E0
1.100375052E0,9.151310474E-2,-2.980445862E0,-1.733860970E-1
1.110375521E0,1.780793667E-1,-3.630669594E0,-1.503898144E0
1.120380937E0,4.120805264E-1,-4.082127094E0,-2.550922632E0
1.130389843E0,5.749735832E-1,-4.510945320E0,-2.565538168E0
1.140403021E0,5.384803414E-1,-4.784818649E0,-1.980320692E0
1.150421562E0,4.852364957E-1,-5.035594940E0,-1.433737755E0
1.160445208E0,5.161118507E-1,-5.401413441E0,-1.310424328E0
1.170473489E0,5.616396666E-1,-5.632505417E0,-1.444665909E0
1.180505781E0,6.250414252E-1,-5.638863564E0,-1.968594313E0
1.190541302E0,6.880277991E-1,-5.731390476E0,-2.734483957E0
1.200579218E0,6.417702436E-1,-5.809520245E0,-3.525719404E0
1.210618593E0,4.060404003E-1,-5.845992088E0,-4.040326595E0
1.220658489E0,1.866131723E-1,-5.844333649E0,-4.217551708E0
1.230689427E0,3.705102950E-2,-5.834625244E0,-4.072441101E0
1.240705833E0,-4.455812275E-3,-5.914067745E0,-3.983700275E0
1.250722239E0,1.026537642E-2,-5.911728859E0,-4.082228184E0
1.260738698E0,-4.379288107E-2,-5.766180038E0,-4.262635231E0
1.270755208E0,8.654423058E-2,-5.986954212E0,-4.186899185E0
1.280771823E0,-2.458687127E-2,-5.906327724E0,-4.198289394E0
1.290788541E0,-2.449625731E-1,-5.740728855E0,-4.039266586E0
1.300805364E0,-5.569263101E-1,-5.656675339E0,-3.698049545E0
1.310784218E0,-7.101067305E-1,-5.554284096E0,-3.160765886E0
1.320766302E0,-8.696184754E-1,-5.558489323E0,-2.749666214E0
1.330752864E0,-9.767215252E-1,-5.507620811E0,-2.324106693E0
1.340744948E0,-9.756966233E-1,-5.417399883E0,-2.114769697E0
1.350743385E0,-9.389991164E-1,-5.325728416E0,-2.401189327E0
1.360748646E0,-7.181684971E-1,-5.307600975E0,-2.658726215E0
1.370760937E0,-4.179304540E-1,-5.185395241E0,-2.923295021E0
1.380780156E0,-8.321332932E-2,-4.986777306E0,-3.583509922E0
1.390804166E0,6.552273035E-2,-4.815042019E0,-3.922791481E0
1.400833177E0,2.315047085E-1,-4.583651543E0,-3.764842272E0
1.410865833E0,3.356360197E-1,-4.293981552E0,-3.287200212E0
1.420903125E0,1.073104441E-1,-3.952616215E0,-3.168905020E0
1.430944114E0,-1.927026808E-1,-3.659646511E0,-3.089276314E0
1.440987656E0,-4.567882717E-1,-3.637791157E0,-2.697388649E0
1.451032604E0,-6.111138463E-1,-3.728977680E0,-2.012565613E0
1.461077760E0,-6.016459465E-1,-3.661603451E0,-1.811557412E0
1.471102343E0,-5.110933781E-1,-3.631834030E0,-1.762709260E0
1.481118437E0,-3.174732924E-1,-3.573399544E0,-1.658954740E0
