"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.900010930E-1,-5.869433880E-1,-2.143781446E-2,-1.584534161E-2
9.000289060E-1,-6.178351641E-1,-1.982664913E-1,5.765573680E-2
9.100600000E-1,-5.059856772E-1,-1.641790420E-1,1.716356725E-1
9.200936980E-1,-2.577863932E-1,-8.748225868E-2,3.580514491E-1
9.301291660E-1,6.817491353E-2,3.395430371E-2,4.454005659E-1
9.401656250E-1,3.302222490E-1,4.780233279E-2,4.336830080E-1
9.502022390E-1,4.335498512E-1,7.549838722E-2,3.782908916E-1
9.602250000E-1,3.920057416E-1,1.255643368E-1,3.623123765E-1
9.702410930E-1,2.460688353E-1,1.458037645E-1,3.569862247E-1
9.802572390E-1,3.302222490E-2,9.999874979E-2,3.047898114E-1
9.902734370E-1,-2.737648785E-1,7.017222792E-2,2.248973250E-1
1.000289791E0,-6.178351641E-1,4.460663348E-2,1.151783243E-1
1.010306250E0,-8.798824549E-1,3.182383627E-2,1.185071748E-2
1.020322916E0,-9.906666875E-1,5.845466256E-2,-5.951989442E-2
1.030339739E0,-9.161003828E-1,2.438052148E-1,-1.106510833E-1
1.040356718E0,-6.849448085E-1,5.197005868E-1,-1.713693589E-1
1.050373906E0,-4.186365902E-1,7.220948339E-1,-2.288919389E-1
1.060391250E0,-1.629806459E-1,8.232919574E-1,-2.683055699E-1
1.070386093E0,3.941362351E-2,8.573794365E-1,-2.693707943E-1
1.080381093E0,1.960028708E-1,8.105092049E-1,-2.193048447E-1
1.090377135E0,3.153089881E-1,6.485937834E-1,-1.266295761E-1
1.100375052E0,3.824186623E-1,4.398080707E-1,-2.543243766E-2
1.110375521E0,3.440702558E-1,2.715012729E-1,3.741630912E-2
1.120380937E0,2.066552043E-1,2.022611201E-1,8.109086752E-2
1.130389843E0,4.154408723E-2,1.926740259E-1,1.002650559E-1
1.140403021E0,-3.408745676E-2,2.395442724E-1,1.119826213E-1
1.150421562E0,1.597849466E-2,3.034582436E-1,1.290263534E-1
1.160445208E0,1.565892547E-1,3.695026934E-1,1.364829838E-1
1.170473489E0,3.504616618E-1,4.312862158E-1,1.151783243E-1
1.180505781E0,5.294207931E-1,4.547213614E-1,8.535179496E-2
1.190541302E0,6.306179762E-1,3.822855055E-1,4.167724028E-2
1.200579218E0,6.444659829E-1,2.842840552E-1,-1.904104091E-2
1.210618593E0,5.890738368E-1,1.628475040E-1,-8.615072072E-2
1.220658489E0,5.006595254E-1,4.886756465E-2,-1.468690038E-1
1.230689427E0,4.346150756E-1,-2.569874749E-2,-2.011958808E-1
1.240705833E0,4.101147056E-1,-7.043853402E-2,-2.480661422E-1
1.250722239E0,4.015928507E-1,-6.511236727E-2,-2.832188308E-1
1.260738698E0,3.856143653E-1,-2.889444493E-2,-2.928059399E-1
1.270755208E0,3.696358502E-1,1.478010789E-2,-3.077192008E-1
1.280771823E0,3.632444739E-1,4.780233279E-2,-3.130453527E-1
1.290788541E0,3.589835167E-1,8.082455397E-2,-2.896102369E-1
1.300805364E0,3.430050313E-1,9.893351793E-2,-2.501966059E-1
1.310784218E0,3.398093283E-1,8.508548886E-2,-2.033263594E-1
1.320766302E0,3.621792197E-1,2.756290510E-2,-1.511299312E-1
1.330752864E0,4.026580751E-1,-1.331541280E-4,-1.021292135E-1
1.340744948E0,4.676373005E-1,-2.676397935E-2,-4.247616604E-2
1.350743385E0,5.240946412E-1,-5.019910634E-2,2.250304818E-2
1.360748646E0,5.571168661E-1,-4.167724028E-2,8.748225868E-2
1.370760937E0,5.645735264E-1,-3.422060981E-2,1.386134475E-1
1.380780156E0,5.336817503E-1,-1.398118306E-2,1.609833390E-1
1.390804166E0,4.569849670E-1,-4.394086078E-3,1.439396143E-1
1.400833177E0,3.600487709E-1,-2.463351376E-2,9.174319357E-2
1.410865833E0,2.865476906E-1,-8.748225868E-2,2.263620263E-3
1.420903125E0,2.481992990E-1,-1.407439113E-1,-8.295502514E-2
1.430944114E0,2.023942769E-1,-1.641790420E-1,-1.213034093E-1
1.440987656E0,1.406107545E-1,-1.258306503E-1,-1.106510833E-1
1.451032604E0,9.906667471E-2,-7.363422960E-2,-7.336792350E-2
1.461077760E0,6.391397864E-2,-2.889444493E-2,-1.478010789E-2
1.471102343E0,2.769605815E-2,3.182383627E-2,5.765573680E-2
1.481118437E0,7.456631400E-3,7.336792350E-2,1.364829838E-1
1.491134531E0,8.521864191E-3,8.508548886E-2,2.046578974E-1
1.501150677E0,1.278279629E-2,8.721595258E-2,2.312887162E-1
1.511125625E0,1.384802908E-2,6.697652489E-2,2.387453467E-1
1.521104062E0,-4.260932095E-3,1.371487509E-2,2.270277888E-1
1.531087396E0,-4.687025398E-2,-8.428656310E-2,1.908098608E-1
1.541076823E0,-1.107842326E-1,-1.364829838E-1,1.332872808E-1
1.551073125E0,-1.800243855E-1,-1.055912226E-1,6.085143611E-2
1.561076927E0,-2.162422985E-1,-2.356828004E-2,-9.453942999E-3
1.571088437E0,-2.173075378E-1,9.254211932E-2,-7.656362653E-2
1.581107604E0,-2.013290375E-1,2.022611201E-1,-1.415428370E-1
1.591132187E0,-1.810896099E-1,2.810883522E-1,-1.958697289E-1
1.601161718E0,-1.565892547E-1,3.205019832E-1,-2.299571782E-1
1.611195468E0,-1.352845877E-1,3.215672076E-1,-2.395442724E-1
1.621233333E0,-1.256974936E-1,3.194367588E-1,-2.299571782E-1
1.631275416E0,-9.374050796E-2,2.171743810E-1,-2.310224175E-1
1.641319479E0,-3.302222490E-2,7.869409025E-2,-2.352833450E-1
1.651365416E0,1.597849466E-2,-4.487293959E-2,-2.533923090E-1
1.661412031E0,4.687025398E-2,-1.737661362E-1,-2.800231278E-1
1.671445364E0,8.521863818E-2,-2.504629195E-1,-2.800231278E-1
1.681462812E0,1.139799356E-1,-2.685718834E-1,-2.597837150E-1
1.691479687E0,9.800143540E-2,-2.515281439E-1,-2.470009029E-1
1.701496614E0,2.876129188E-2,-2.089188248E-1,-2.512618303E-1
1.711513541E0,-5.113118514E-2,-1.460700780E-1,-2.448704392E-1
1.721504583E0,-1.310236603E-1,-1.173087880E-1,-2.288919389E-1
1.731497708E0,-2.109161317E-1,-1.141130850E-1,-2.150439173E-1
1.741493802E0,-2.918738425E-1,-1.055912226E-1,-1.990654171E-1
1.751493593E0,-3.675054014E-1,-7.576470077E-2,-1.532603949E-1
1.761497656E0,-4.282236695E-1,4.127778113E-3,-9.147688746E-2
1.771506354E0,-4.410064816E-1,5.951989442E-2,-1.904104091E-2
1.781519791E0,-4.335498512E-1,5.312849581E-2,4.806863889E-2
1.791537968E0,-4.740287066E-1,3.715000302E-2,9.706936032E-2
1.801560677E0,-5.752258301E-1,6.910699606E-2,1.194392517E-1
1.811587552E0,-6.615096927E-1,7.549838722E-2,1.535267085E-1
1.821616875E0,-6.817491055E-1,3.182383627E-2,2.089188248E-1
1.831649166E0,-6.572487950E-1,-4.380770773E-2,2.866808474E-1
1.841683698E0,-6.029219031E-1,-1.311568171E-1,3.537905216E-1
1.851719739E0,-5.496602654E-1,-2.099840641E-1,3.932041526E-1
1.861756406E0,-5.539211631E-1,-2.057231218E-1,4.027912319E-1
1.871789427E0,-6.519225836E-1,-1.045259908E-1,3.761604130E-1
1.881807760E0,-7.531197667E-1,7.975932211E-2,2.983984053E-1
1.891779427E0,-7.264889479E-1,2.555227578E-1,1.886793971E-1
1.901754739E0,-5.528559685E-1,3.822855055E-1,7.682993263E-2
1.911735156E0,-3.195699155E-1,4.291557670E-1,-1.797580719E-2
1.921720156E0,-1.139799356E-1,3.737636507E-1,-6.271559745E-2
1.931712656E0,3.515268862E-2,1.852173954E-1,-5.845466256E-2
1.941713333E0,1.214365661E-1,-1.716356725E-1,-3.288906813E-2
1.951722500E0,1.331541240E-1,-5.519238710E-1,2.676397935E-2
1.961740156E0,1.022623703E-1,-8.204957247E-1,6.404713541E-2
1.971765937E0,1.704372838E-2,-8.844097257E-1,6.524552125E-3
1.981799166E0,-8.308817446E-2,-7.223611474E-1,-1.319557428E-1
1.991838906E0,-1.736329794E-1,-3.740299344E-1,-2.672403455E-1
2.001884010E0,-2.428731322E-1,2.330197208E-2,-3.908073604E-1
2.011933125E0,-2.758953571E-1,4.003944695E-1,-5.303528905E-1
2.021983750E0,-2.535254657E-1,6.091801524E-1,-6.294195652E-1
2.032035573E0,-1.352845877E-1,5.868102312E-1,-6.539199352E-1
2.042081979E0,5.965305120E-2,3.886769116E-1,-6.283543110E-1
2.052099166E0,2.023942769E-1,4.247616604E-2,-5.953320861E-1
2.062116354E0,1.778939217E-1,-2.824199200E-1,-5.282224417E-1
2.072106614E0,-1.065233024E-3,-4.485962689E-1,-4.366123974E-1
2.082097239E0,-2.524602413E-1,-4.209001958E-1,-3.599156141E-1
2.092089271E0,-5.187684894E-1,-3.228987455E-1,-3.268933892E-1
2.102083646E0,-7.627068162E-1,-2.802894413E-1,-2.363485843E-1
2.112081198E0,-9.480574131E-1,-3.037245572E-1,-1.138467789E-1
2.122083281E0,-1.020493269E0,-3.772256374E-1,-3.928046674E-2
2.132091406E0,-9.842753410E-1,-4.166392684E-1,4.700340703E-2
2.142104583E0,-8.511211872E-1,-4.400743842E-1,1.577876359E-1
2.152123854E0,-5.358121991E-1,-3.442034125E-1,2.227668613E-1
2.162148906E0,-8.628387749E-2,-9.493889660E-2,2.685718834E-1
2.172179218E0,3.270265460E-1,2.246310115E-1,2.994636297E-1
