"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.767111490E-1,-2.302234918E-1,1.765623689E-1,2.314218730E-1
9.867344300E-1,-2.632457018E-1,1.414096802E-1,1.472684592E-1
9.967586490E-1,-2.707023323E-1,9.134373069E-2,7.270215452E-2
1.006783545E0,-2.909417748E-1,3.914731368E-2,3.967992961E-2
1.016808753E0,-3.111811876E-1,-1.944050193E-2,3.222329915E-2
1.026833858E0,-3.015941083E-1,-8.548495173E-2,3.435376659E-2
1.036852139E0,-2.611152530E-1,-1.035939083E-1,3.541899845E-2
1.046869378E0,-2.163754553E-1,-8.015878499E-2,3.541899845E-2
1.056885264E0,-1.822880059E-1,-7.483261824E-2,3.435376659E-2
1.066875680E0,-1.428743750E-1,-6.204982474E-2,2.157096937E-2
1.076868233E0,-1.173087880E-1,5.193011090E-2,1.091863867E-2
1.086863805E0,-8.535179496E-2,9.027849883E-2,1.731003635E-2
1.096863128E0,-2.463351376E-2,2.213021666E-1,4.287562892E-2
1.106866774E0,9.467258304E-2,3.171731234E-1,9.400681406E-2
1.116875160E0,2.725664973E-1,3.874785006E-1,1.536598653E-1
1.126888441E0,4.376776218E-1,4.268921316E-1,2.079867423E-1
1.136906566E0,5.356790423E-1,4.535229504E-1,2.442046702E-1
1.146929274E0,5.549864173E-1,4.663057625E-1,2.687050402E-1
1.156956149E0,5.197005868E-1,4.673709869E-1,2.782921195E-1
1.166986670E0,4.366123974E-1,4.077179432E-1,2.463351339E-1
1.177020160E0,3.428718746E-1,3.544562757E-1,1.973344237E-1
1.187055837E0,2.384790480E-1,3.033251166E-1,1.568555683E-1
1.197092868E0,1.447385401E-1,2.436720580E-1,1.355509013E-1
1.207130420E0,8.615072072E-2,2.085193694E-1,1.344856620E-1
1.217119951E0,7.336792350E-2,1.691057384E-1,1.366161406E-1
1.227112191E0,9.360735118E-2,1.233007237E-1,1.525946259E-1
1.237108024E0,1.276948154E-1,1.062569916E-1,1.707035899E-1
1.247106722E0,1.511299312E-1,8.175663650E-2,1.824211627E-1
1.257110368E0,1.564560980E-1,4.873441160E-2,1.738992929E-1
1.267119274E0,1.607170254E-1,-2.663082560E-4,1.643121988E-1
1.277133597E0,1.468690038E-1,-4.926702753E-2,1.579207927E-1
