"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.751943940E-1,1.655372143E0,4.545882046E-1,-6.790860742E-2
9.852054350E-1,1.770417333E0,4.503272474E-1,5.033225939E-2
9.952241850E-1,1.802374244E0,4.641752839E-1,1.099853069E-1
1.005250331E0,1.729938388E0,4.087831676E-1,1.408770680E-1
1.015282102E0,1.586131930E0,4.354139864E-1,1.834863871E-1
1.025317987E0,1.348585010E0,5.355458856E-1,2.314218730E-1
1.035358873E0,1.121690392E0,5.387415886E-1,2.186390758E-1
1.045403612E0,7.669677734E-1,6.047860384E-1,2.985315621E-1
1.055451008E0,3.758940995E-1,7.050511241E-1,2.942706347E-1
1.065499706E0,9.041165560E-2,7.828131318E-1,1.792254597E-1
1.075548456E0,-8.854749799E-2,7.689650655E-1,5.033225939E-2
1.085566894E0,-1.929403245E-1,5.717638135E-1,-5.512581021E-2
1.095585331E0,-2.344844192E-1,1.765623689E-1,-1.999974996E-1
1.105601842E0,-2.366148829E-1,-3.336842358E-1,-2.916075289E-1
1.115618352E0,-2.632457018E-1,-7.810820937E-1,-3.267602324E-1
1.125609810E0,-4.081174135E-1,-1.174153090E0,-3.608476818E-1
1.135603352E0,-7.021217346E-1,-1.471353173E0,-3.651086092E-1
1.145599914E0,-1.066431403E0,-1.538462758E0,-3.523258269E-1
1.155600175E0,-1.379609942E0,-1.448983192E0,-3.704347908E-1
1.165604654E0,-1.526612043E0,-1.205044866E0,-3.885437548E-1
1.175613717E0,-1.473350406E0,-8.290175796E-1,-3.778914213E-1
1.185627571E0,-1.196389794E0,-3.933372796E-1,-3.150426745E-1
1.195646112E0,-7.031869292E-1,-4.527240526E-3,-2.106498331E-1
1.205669133E0,-8.322133124E-2,2.756290436E-1,-1.126483902E-1
1.215696217E0,5.645735264E-1,4.737623930E-1,-3.382114694E-2
1.225725748E0,1.123820782E0,6.378082633E-1,4.394086078E-2
1.235758196E0,1.603175759E0,6.207645535E-1,1.728340536E-1
1.245792831E0,1.900375724E0,6.463301182E-1,2.260957062E-1
1.255828925E0,1.914223790E0,6.569824815E-1,2.292914093E-1
1.265854237E0,1.628741264E0,7.114425302E-1,2.122476846E-1
1.275880331E0,1.146190763E0,7.721607685E-1,1.568555683E-1
1.285906789E0,5.516575575E-1,8.382052183E-1,6.098458916E-2
1.295933248E0,-3.954677656E-2,7.487256527E-1,-7.190322969E-3
1.305951373E0,-5.679023266E-1,6.665695906E-1,-5.406057462E-2
1.315968612E0,-9.652342796E-1,5.387415886E-1,-5.725627393E-2
1.325985904E0,-1.160171866E0,3.161078990E-1,-1.145125460E-2
1.336003248E0,-1.160171866E0,8.388710022E-2,4.394086078E-2
1.346020592E0,-9.673647285E-1,-9.187635034E-2,1.078548431E-1
1.356037987E0,-6.350120306E-1,-2.026605755E-1,1.834863871E-1
1.366055435E0,-2.493976802E-1,-2.175738513E-1,2.442046702E-1
1.376072935E0,9.786828607E-2,-1.717688292E-1,2.729659677E-1
1.386090435E0,3.481980562E-1,-8.548495173E-2,2.548570037E-1
1.396107987E0,4.909392595E-1,2.210358530E-2,2.271609455E-1
1.406125539E0,5.560516119E-1,1.105179265E-1,2.122476846E-1
1.416143092E0,5.581821203E-1,1.701709777E-1,2.026605755E-1
1.426160696E0,5.303528905E-1,2.138455361E-1,1.920082569E-1
1.436178300E0,5.143743753E-1,2.649767101E-1,1.973344237E-1
1.446195904E0,5.133091807E-1,2.127802968E-1,2.079867423E-1
1.456213508E0,4.941349626E-1,4.766917601E-2,2.143781483E-1
1.466231008E0,4.025249183E-1,-7.270215452E-2,1.909430176E-1
1.476248508E0,2.885449827E-1,-1.472684592E-1,1.398118287E-1
1.486265956E0,2.171743810E-1,-2.537917793E-1,8.122401685E-2
1.496283404E0,1.649779677E-1,-3.155752718E-1,-5.059856921E-3
1.506300852E0,7.443315536E-2,-2.431394309E-1,-1.382139921E-1
1.516273769E0,-6.724283099E-2,-1.248985752E-1,-3.065207899E-1
1.526250279E0,-2.834851444E-1,1.946713328E-1,-4.588491321E-1
1.536231894E0,-5.955983996E-1,4.684362113E-1,-5.685681105E-1
1.546219758E0,-9.364729524E-1,5.877423286E-1,-6.186341047E-1
1.556214810E0,-1.263499498E0,4.098483920E-1,-6.239602566E-1
1.566217675E0,-1.523416400E0,3.169068322E-2,-6.420692205E-1
1.576228612E0,-1.658700943E0,-5.616441369E-1,-6.239602566E-1
1.586247571E0,-1.573482275E0,-1.428743839E0,-4.865451753E-1
1.596274185E0,-1.205976963E0,-2.101971149E0,-1.914756298E-1
1.606307779E0,-7.468615174E-1,-2.043383360E0,3.115806542E-2
1.616347414E0,-5.774894357E-1,-1.542723775E0,1.280942708E-1
1.626391946E0,-8.395367861E-1,-9.589760303E-1,1.238333359E-1
1.636440123E0,-1.349783421E0,-4.316856861E-1,-3.994623665E-3
1.646490539E0,-1.906900287E0,9.453943372E-2,-1.882799417E-1
1.656541842E0,-2.192382812E0,5.323501825E-1,-4.609795809E-1
1.666580592E0,-2.249905348E0,8.222267628E-1,-6.814828515E-1
1.676598092E0,-2.229665756E0,1.005446792E0,-8.094439507E-1
1.686615331E0,-2.122077227E0,9.884030819E-1,-8.509880304E-1
1.696632571E0,-1.845116735E0,4.993279874E-1,-7.881392837E-1
1.706649810E0,-1.511698842E0,1.765623689E-1,-4.929365814E-1
1.716667102E0,-9.407339096E-1,-1.174419373E-1,-2.423405088E-2
1.726684446E0,-2.248973250E-1,-6.138405204E-1,3.560541272E-1
1.736661321E0,3.226324618E-1,-9.568455815E-1,6.223623753E-1
1.746641477E0,5.645735264E-1,-1.127282858E0,8.002563119E-1
1.756626269E0,5.698996782E-1,-1.084673524E0,8.737573624E-1
1.766615175E0,4.419385493E-1,-7.608426809E-1,8.758878708E-1
1.776610800E0,3.726983964E-1,-3.102491200E-1,7.842777967E-1
1.786613821E0,4.738955498E-1,1.094526947E-1,5.882749557E-1
1.796624446E0,6.689663529E-1,4.418053925E-1,3.912068307E-1
1.806642623E0,8.979914188E-1,6.623086333E-1,1.983996481E-1
1.816668039E0,1.115298986E0,7.838783264E-1,4.926702753E-2
1.826700071E0,1.300649524E0,7.732260227E-1,-5.512581021E-2
1.836736842E0,1.446586490E0,5.994598866E-1,-1.350182891E-1
1.846778456E0,1.564827323E0,3.203688264E-1,-1.680405140E-1
1.856823769E0,1.669220090E0,-7.722939365E-3,-1.318225861E-1
1.866871477E0,1.787461042E0,-3.304885328E-1,-6.471290439E-2
1.876920279E0,1.879070997E0,-5.967968106E-1,-7.989247679E-4
1.886966425E0,1.848179340E0,-7.800168991E-1,5.139749497E-2
1.896982467E0,1.666024446E0,-8.908011317E-1,8.655018359E-2
1.906998612E0,1.397585750E0,-9.142362475E-1,1.057243794E-1
1.917014862E0,1.087602973E0,-7.736254930E-1,9.613727778E-2
1.927031269E0,7.318150997E-1,-6.159709692E-1,6.737598777E-2
1.937025696E0,4.206338823E-1,-4.391423166E-1,5.592473317E-3
1.947022102E0,1.127815470E-1,-1.525946259E-1,1.198387146E-2
1.957021269E0,-1.375482082E-1,1.957365721E-1,4.394086078E-2
1.967023821E0,-2.643109560E-1,4.279573560E-1,9.720251709E-2
