"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.583990000E-2,-5.394073725E-1,1.531272475E-2,2.117150649E-2
2.584115000E-2,-6.192998290E-1,4.940018058E-2,-9.720250964E-3
3.584427500E-2,-6.491263509E-1,6.005251035E-2,-3.635107726E-2
4.585151400E-2,-6.374087930E-1,6.857437640E-2,-4.806863889E-2
5.586203500E-2,-5.894733071E-1,7.816147059E-2,-4.487293959E-2
6.587703500E-2,-5.127765536E-1,5.472634733E-2,-2.463351376E-2
7.589531600E-2,-4.264926612E-1,2.489982173E-2,1.264964230E-2
8.591776400E-2,-3.497959077E-1,1.744319126E-2,5.951989442E-2
9.594292000E-2,-2.858819067E-1,2.489982173E-2,9.573781490E-2
1.059714100E-1,-2.592510879E-1,4.300878197E-2,1.255643368E-1
1.160015140E-1,-2.699034214E-1,3.768261895E-2,1.479342431E-1
1.260337540E-1,-3.039908707E-1,2.170412242E-2,1.585865617E-1
1.360570870E-1,-3.529915810E-1,9.986559860E-3,1.607170254E-1
1.460819310E-1,-4.158403277E-1,9.986559860E-3,1.511299312E-1
1.561068270E-1,-4.637758136E-1,-6.657706108E-4,1.340862066E-1
1.661325040E-1,-4.616453648E-1,-1.557903271E-2,1.234338731E-1
1.761413580E-1,-4.073184729E-1,-2.090519853E-2,1.191729456E-1
1.861515660E-1,-3.252955377E-1,-1.983996481E-2,1.159772426E-1
1.961622430E-1,-2.517944574E-1,-8.122402243E-3,1.191729456E-1
2.061729200E-1,-2.070546746E-1,8.921326138E-3,1.223686412E-1
2.161838580E-1,-1.857500076E-1,1.850842312E-2,1.202381775E-1
2.261970870E-1,-1.687062830E-1,1.105179265E-2,1.117163152E-1
2.362108370E-1,-1.516625583E-1,-8.122402243E-3,1.063901484E-1
2.462269830E-1,-1.346188188E-1,-1.238333434E-2,1.053249165E-1
2.562443790E-1,-1.069227681E-1,-2.729659714E-2,1.085206121E-1
2.662640140E-1,-8.135717362E-2,-6.671021879E-2,1.106510833E-1
2.762846390E-1,-7.177007198E-2,-1.018629074E-1,1.127815470E-1
2.863071390E-1,-8.029194176E-2,-1.061238423E-1,1.053249165E-1
2.963301080E-1,-1.005313694E-1,-1.029281393E-1,8.188978583E-2
3.063543790E-1,-1.335535944E-1,-7.097115368E-2,4.993279651E-2
3.163752640E-1,-1.665758193E-1,-1.983996481E-2,1.371487509E-2
3.263970350E-1,-1.719019860E-1,3.342168778E-2,-2.569874749E-2
3.364089100E-1,-1.452711523E-1,7.709623873E-2,-5.872096866E-2
3.464220350E-1,-1.047922969E-1,8.881380409E-2,-7.576470077E-2
3.564354200E-1,-5.685681105E-2,7.177007198E-2,-7.576470077E-2
3.664502640E-1,-1.105179265E-2,2.809552103E-2,-7.043853402E-2
3.764580250E-1,1.344856713E-2,-2.729659714E-2,-6.191666797E-2
3.864679200E-1,5.991935730E-3,-6.884068251E-2,-4.593817517E-2
3.964790660E-1,-2.489982173E-2,-5.925358832E-2,-2.995967865E-2
4.064926600E-1,-6.324820966E-2,-3.049229458E-2,-2.676397935E-2
4.165076600E-1,-9.733566642E-2,2.063889056E-2,-2.782921307E-2
4.265251600E-1,-1.037270650E-1,5.579157919E-2,-2.889444493E-2
4.365439620E-1,-6.750914454E-2,6.644391268E-2,-2.782921307E-2
4.465650040E-1,-1.424749196E-2,6.857437640E-2,-1.717688330E-2
4.565862540E-1,4.007939249E-2,5.366111174E-2,-3.328853287E-3
