"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.961328960E-1,-5.315080285E-2,4.392473698E0,-5.488754272E0
8.061328960E-1,-2.108531594E-1,4.491849422E0,-5.162667274E0
8.161328960E-1,-3.485547006E-1,4.669335842E0,-5.064314842E0
8.261328960E-1,-1.623518765E-1,4.798418999E0,-5.241307735E0
8.361329290E-1,1.146112978E-1,4.935908318E0,-5.433978081E0
8.461329290E-1,3.463987708E-1,5.125326157E0,-5.488375664E0
8.561327290E-1,7.979542017E-1,5.262699604E0,-5.678222656E0
8.661327620E-1,8.221414685E-1,5.277687550E0,-5.731322289E0
8.761327950E-1,7.915599942E-1,5.413409710E0,-5.739283085E0
8.861327950E-1,5.536510348E-1,5.588629723E0,-5.678222179E0
8.961327950E-1,-1.600813866E-2,5.890008926E0,-5.883743286E0
9.061327950E-1,-1.661326885E-1,5.939109802E0,-5.876920700E0
9.161327950E-1,-4.130312800E-1,6.094032288E0,-5.953222275E0
9.261328280E-1,-3.644055724E-1,6.142468452E0,-5.964898109E0
9.361328280E-1,-1.688902974E-1,6.396846771E0,-5.304790974E0
9.461328610E-1,-1.525224447E-1,6.405856609E0,-5.309538364E0
9.561328610E-1,1.317935288E-1,6.580984116E0,-4.840140820E0
9.661328610E-1,4.557569921E-1,6.752835751E0,-4.545159340E0
9.761330940E-1,5.824151635E-1,6.911926270E0,-4.710415840E0
9.861330940E-1,5.424708128E-1,6.993113041E0,-4.741694450E0
9.961334270E-1,4.749757946E-1,7.173881531E0,-4.635768890E0
1.006133427E0,5.852112174E-1,7.226551533E0,-4.487470627E0
1.016133427E0,3.858703673E-1,7.233469963E0,-4.022167206E0
1.026133427E0,3.534839153E-1,7.240352631E0,-3.979802132E0
1.036133827E0,4.156387448E-1,7.392347813E0,-4.123663425E0
1.046133827E0,3.516197801E-1,7.574737549E0,-4.416472435E0
1.056133827E0,2.671796978E-1,7.553760052E0,-5.160437584E0
1.066133827E0,2.774249911E-1,7.589641571E0,-5.273085117E0
1.076133827E0,4.923647642E-1,7.649785519E0,-5.395799637E0
1.086133260E0,8.044021130E-1,7.733424187E0,-5.292580605E0
1.096132860E0,1.228909016E0,8.089513779E0,-5.557077408E0
1.106132593E0,1.223661542E0,8.187800407E0,-5.623237610E0
1.116132593E0,1.190050602E0,8.426669121E0,-5.769100666E0
1.126132593E0,1.430104971E0,8.780260086E0,-5.698069096E0
1.136132559E0,1.087864280E0,9.610361099E0,-5.800448895E0
1.146132559E0,1.041968584E0,9.696162224E0,-5.787939548E0
1.156132759E0,5.932537913E-1,1.030265999E1,-5.615575790E0
1.166132725E0,2.469788492E-1,1.098647118E1,-5.554161072E0
1.176132691E0,6.203812361E-2,1.163059902E1,-5.551494598E0
1.186132691E0,3.419470787E-1,1.193052959E1,-5.144332886E0
1.196132691E0,6.520678401E-1,1.201370430E1,-4.452579021E0
1.206132691E0,9.550375938E-1,1.192606735E1,-3.841009140E0
1.216132691E0,1.188333511E0,1.197984695E1,-3.177349091E0
1.226132657E0,1.126368999E0,1.197803116E1,-2.881434917E0
1.236131757E0,6.205564737E-1,1.182651901E1,-3.046924114E0
1.246131723E0,1.104907095E-1,1.175568962E1,-3.541414261E0
1.256131723E0,3.461751342E-2,1.143768787E1,-3.913478374E0
1.266131723E0,7.722991705E-2,1.130862999E1,-4.045488358E0
1.276131456E0,2.747324705E-1,1.094244671E1,-4.121914387E0
1.286131456E0,5.712962151E-1,1.043520927E1,-3.896188259E0
1.296131489E0,9.220221043E-1,9.814475060E0,-4.317971230E0
1.306131522E0,9.083701372E-1,9.689472198E0,-4.378365993E0
1.316131522E0,8.901933432E-1,9.207780838E0,-4.828254223E0
1.326131522E0,8.436751366E-1,8.823080063E0,-5.161884785E0
1.336131522E0,8.197890520E-1,8.342109680E0,-4.852282524E0
1.346131522E0,7.679530382E-1,8.231149673E0,-4.865561485E0
1.356131522E0,6.433254480E-1,8.068967819E0,-5.205154896E0
1.366131522E0,4.985965192E-1,7.911261082E0,-5.549062729E0
1.376131522E0,4.244315922E-1,7.907620430E0,-5.658572197E0
1.386131588E0,4.301720262E-1,7.800503731E0,-5.711583138E0
1.396131988E0,4.361287951E-1,7.642170429E0,-5.736607552E0
1.406132254E0,2.453905493E-1,7.399616241E0,-5.700460434E0
1.416132254E0,2.316347063E-1,7.369402409E0,-5.679570198E0
1.426132287E0,-4.722037911E-2,7.051027298E0,-5.614075661E0
1.436132287E0,-5.201009512E-1,6.597054958E0,-5.453268051E0
1.446132287E0,-7.168697715E-1,6.377434254E0,-5.457320213E0
1.456132287E0,-6.043859720E-1,5.971336842E0,-5.502828121E0
1.466132287E0,-5.813416243E-1,5.885801792E0,-5.474426746E0
1.476132287E0,-4.152804315E-1,5.651569843E0,-5.532394409E0
