"Time (s),""Gyroscope x (rad/s)"",""Gyroscope y (rad/s)"",""Gyroscope z (rad/s)"""
8.517974700E-1,1.653535843E0,-2.160935849E-2,7.964155823E-2
8.617974360E-1,1.455004692E0,8.933904581E-3,2.482403666E-1
8.717974360E-1,1.134300351E0,7.918340713E-2,3.410918713E-1
8.817974360E-1,8.734609485E-1,4.986187443E-2,3.936263025E-1
8.917974360E-1,7.109707594E-1,-1.450804994E-3,4.095087945E-1
9.017974360E-1,5.832999349E-1,-1.004109755E-1,4.498258829E-1
9.117974360E-1,5.044983625E-1,-1.254564524E-1,4.834234715E-1
9.217974360E-1,4.507421851E-1,1.931861416E-2,4.889212847E-1
9.317974360E-1,4.391357601E-1,8.345946670E-2,5.054146051E-1
9.417974360E-1,4.330270886E-1,9.934195876E-2,4.473824203E-1
9.517974360E-1,4.611268938E-1,2.447278947E-1,3.893502355E-1
9.617974360E-1,4.928919077E-1,3.974441886E-1,3.594178259E-1
9.717974360E-1,4.617377818E-1,4.200462103E-1,2.873357534E-1
9.817974360E-1,4.000403881E-1,2.789363563E-1,1.779908538E-1
9.917974360E-1,3.322343230E-1,8.162686974E-2,1.346194297E-1
1.001797436E0,1.648572534E-1,-5.337435007E-2,1.407280862E-1
1.011797436E0,-9.598220140E-2,-8.636107296E-2,1.315651089E-1
1.021797436E0,-3.201697469E-1,-3.016147204E-2,7.841982692E-2
1.031797436E0,-4.631122053E-1,2.115120925E-2,8.941540122E-2
1.041797436E0,-5.345834494E-1,9.995282441E-2,1.731039435E-1
1.051797436E0,-4.912120104E-1,9.628763795E-2,2.421317101E-1
1.061797436E0,-2.908482254E-1,1.259909570E-2,2.922226489E-1
1.071797436E0,-6.177374721E-2,-2.274709493E-1,2.989421785E-1
1.081797436E0,1.691333205E-1,-5.157993436E-1,3.368158340E-1
1.091797436E0,3.157409728E-1,-6.123160720E-1,4.925864637E-1
1.101797436E0,3.823252916E-1,-4.284456074E-1,6.935611367E-1
1.111797436E0,4.415792227E-1,-9.980010986E-2,7.796931267E-1
1.121797436E0,5.936846733E-1,1.213331074E-1,6.685156822E-1
1.131797436E0,9.718102217E-1,1.011745557E-1,4.516584873E-1
1.141797436E0,1.505095601E0,-3.627012298E-2,7.780896127E-2
1.151797436E0,1.812971711E0,-7.353290170E-2,-3.094795942E-1
1.161797369E0,1.492267489E0,1.015563495E-2,-5.593234897E-1
1.171797369E0,5.686391592E-1,-6.803511828E-2,-6.118578911E-1
1.181797369E0,-5.248095989E-1,-6.253732741E-2,-6.136904955E-1
1.191797369E0,-1.343369007E0,-9.491318464E-2,-5.135086179E-1
1.201797369E0,-1.645747304E0,-2.641228735E-1,-4.646393657E-1
1.211797369E0,-1.604819298E0,-3.282637000E-1,-4.860196710E-1
1.221797369E0,-1.304884553E0,-3.215442002E-1,-5.813146234E-1
1.231797369E0,-7.166212797E-1,-3.355940878E-1,-6.088035703E-1
1.241797369E0,-6.238461286E-2,-2.861140072E-1,-5.171737671E-1
1.251797369E0,4.495204687E-1,-1.413389444E-1,-3.394120038E-1
1.261797369E0,8.050440550E-1,-3.810271993E-2,-1.115592644E-1
1.271797369E0,7.384597063E-1,7.857254148E-2,1.828777790E-1
1.281797369E0,4.201989174E-1,1.378264725E-1,3.435353339E-1
1.291797369E0,1.196532324E-1,1.298852265E-1,4.205043614E-1
1.301797369E0,-7.826711237E-2,1.787544489E-1,4.278347492E-1
1.311797369E0,-6.238461286E-2,2.477822155E-1,3.911828399E-1
1.321797369E0,1.446987092E-1,2.911536396E-1,3.472005427E-1
1.331797369E0,4.519639313E-1,2.465604842E-1,2.897791862E-1
1.341797369E0,7.158576846E-1,8.895725012E-2,1.633300930E-1
1.351797369E0,7.769442201E-1,-1.855503209E-2,-2.359467000E-2
1.361797369E0,6.199518442E-1,2.176207490E-2,-2.111303061E-1
1.371797369E0,3.322343230E-1,1.524872333E-1,-3.797291219E-1
1.381797369E0,5.978843570E-2,2.551125884E-1,-5.416083932E-1
1.391797369E0,-1.259146035E-1,2.435061634E-1,-6.411794424E-1
1.401797369E0,-2.474767864E-1,1.292743534E-1,-6.692792177E-1
1.411797369E0,-3.568216562E-1,-3.993531689E-2,-6.729444265E-1
1.421797369E0,-4.460079968E-1,-3.019964993E-1,-6.845508814E-1
1.431797369E0,-4.863250852E-1,-5.665011406E-1,-6.515641212E-1
1.441797369E0,-5.064836740E-1,-6.947828531E-1,-5.312237144E-1
1.451797369E0,-5.070945024E-1,-6.813437939E-1,-4.029420018E-1
1.461797435E0,-4.686099887E-1,-5.921574831E-1,-2.599995136E-1
1.471797435E0,-4.484514594E-1,-4.644866586E-1,-9.934195876E-2
1.481797435E0,-4.686099887E-1,-3.526983261E-1,3.749185428E-2
1.491797435E0,-4.869359732E-1,-3.123812079E-1,1.621083617E-1
1.501797435E0,-5.278639197E-1,-3.038291037E-1,3.178789914E-1
1.511797435E0,-5.895613432E-1,-3.313180506E-1,4.528802335E-1
1.521797468E0,-6.530913115E-1,-4.058435857E-1,5.500078201E-1
1.531797468E0,-6.885215044E-1,-4.931973219E-1,6.685156822E-1
1.541797468E0,-6.659194827E-1,-4.986951053E-1,7.491498590E-1
1.553170114E0,-5.852852464E-1,-3.844633102E-1,8.303949237E-1
1.563170147E0,-4.930446148E-1,-1.963168234E-1,8.664360046E-1
